CD_CVM,AUDITOR,SIT,DT_INI_SIT
9059,AGUIAR ARAUJO DE OLIVEIRA,ATIVO,2001-07-13
10600,ALBERTO FRANCISCO COSTA,ATIVO,2006-09-01
11363,ALEX RIBEIRO TELO,ATIVO,2009-11-27
5142,ANTONIO GOMES MARTINS,SUSPENSO(A) - DECISÃO ADM,2024-01-09
13145,BRUNO LOURENÇO PEIXOTO,ATIVO,2021-12-14
12726,CARLOS ATUSHI NAKAMUTA,ATIVO,2017-09-20
11983,DÁRIO BEZERRA MOREIRA SAMPAIO,ATIVO,2013-09-30
13137,EDUARDO AMARAL MENDES,ATIVO,2021-10-07
12637,EDUARDO RODRIGUES,ATIVO,2016-10-17
13080,EVERTON FEITOSA DE LIMA,ATIVO,2021-05-12
12483,FELICIANO CELSO MACIEL,ATIVO,2016-01-08
523,FLAVIO MARTINS,SUSPENSO(A) - DECISÃO ADM,2019-10-02
12343,FLORIVAL JOAQUIM MARTINS,ATIVO,2015-05-06
11908,GUILHERME STEINER RODRIGUES MESQUITA,ATIVO,2012-09-21
10014,IVAN ROBERTO DOS SANTOS PINTO JUNIOR,ATIVO,2004-04-01
6211,JANIO BLERA DE ANDRADE,ATIVO,1994-10-18
13552,LILIAN APARECIDA NAPPI ALVARES,ATIVO,2025-09-24
12688,LUIS CARLOS GRUENFELD,ATIVO,2017-03-21
9377,LUIZ CARLOS DE FREITAS VÉRAS,ATIVO,2002-06-25
11509,MARCELO LIMA DE CASTRO,ATIVO,2010-12-06
13218,MATHEUS CARLO FAVARIN,ATIVO,2022-06-14
9342,MOZART BOAVENTURA SOBRINHO,SUSPENSO(A) - DECISÃO ADM,2019-09-25
132,NELSON DE ALMEIDA COSTA,ATIVO,1980-02-28
7773,NEWTON DE ARAÚJO LOPES,ATIVO,1999-05-31
9776,ODÁCIO PEREIRA MOREIRA,ATIVO,2003-06-11
12742,PABLO ROBERTO NASCIMENTO MOREIRA,ATIVO,2017-11-09
6629,PAULO DE TARSO BORGES RAMOS,ATIVO,1996-09-10
5339,ROBERTO LOPES DE SOUZA,ATIVO,1991-12-23
4677,TADEU MANOEL RODRIGUES DE ARAÚJO,ATIVO,2017-10-08
11436,WALKÍRIA DA SILVA ALENCAR,ATIVO,2010-08-24
